Date,Open,High,Low,Close,Volume,OpenInt
1/2/1970,2.2972,2.3178,2.2972,2.2972,26437,0
1/5/1970,2.2972,2.2972,2.2544,2.2759,29887,0
1/6/1970,2.2759,2.2759,2.2342,2.2342,106900,0
1/7/1970,2.2342,2.2342,2.2342,2.2342,85061,0
1/8/1970,2.2342,2.2342,2.2139,2.2139,66669,0
1/9/1970,2.2139,2.2139,2.1921,2.1921,72418,0
1/12/1970,2.1921,2.1921,2.1717,2.1717,94257,0
1/13/1970,2.1717,2.1921,2.1717,2.1921,67818,0
1/14/1970,2.1921,2.1921,2.1717,2.1717,66669,0
1/15/1970,2.1717,2.1921,2.1717,2.1921,91958,0
1/16/1970,2.1921,2.1921,2.1717,2.1921,105750,0
1/19/1970,2.1921,2.1921,2.1717,2.1717,109200,0
1/20/1970,2.1717,2.1921,2.1717,2.1921,22991,0
1/21/1970,2.1921,2.2342,2.1921,2.2342,37931,0
1/22/1970,2.2342,2.2972,2.2342,2.2544,212652,0
1/23/1970,2.2544,2.2544,2.2139,2.2139,40231,0
1/26/1970,2.1921,2.1921,2.1508,2.1717,100004,0
1/27/1970,2.1717,2.1921,2.1292,2.1292,43679,0
1/28/1970,2.1292,2.1508,2.1292,2.1292,132189,0
1/29/1970,2.1292,2.1292,2.0883,2.0883,164373,0
1/30/1970,2.0883,2.1088,2.0883,2.0883,47128,0
2/2/1970,2.1088,2.1292,2.1088,2.1088,50576,0
2/3/1970,2.1088,2.1508,2.1088,2.1508,113796,0
2/4/1970,2.1508,2.1508,2.1088,2.1292,274724,0
2/5/1970,2.1292,2.1292,2.1088,2.1088,49428,0
2/6/1970,2.1088,2.1088,2.1088,2.1088,49428,0
2/9/1970,2.1292,2.1508,2.1292,2.1508,36783,0
2/10/1970,2.1508,2.1508,2.1292,2.1292,22991,0
2/11/1970,2.1292,2.2139,2.1292,2.2139,47128,0
2/12/1970,2.2139,2.2139,2.1921,2.1921,143683,0
2/13/1970,2.1921,2.1921,2.1921,2.1921,29887,0
2/16/1970,2.1921,2.1921,2.1921,2.1921,49428,0
2/17/1970,2.1921,2.1921,2.1717,2.1717,32185,0
2/18/1970,2.1921,2.2139,2.1921,2.1921,82761,0
2/19/1970,2.2139,2.2544,2.2139,2.2544,51727,0
2/20/1970,2.2544,2.2759,2.2544,2.2544,39082,0
2/24/1970,2.2544,2.2759,2.2544,2.2544,52877,0
2/25/1970,2.2544,2.2759,2.2544,2.2759,63221,0
2/26/1970,2.2759,2.3178,2.2759,2.3178,63221,0
2/27/1970,2.3386,2.359,2.3386,2.359,63221,0
3/2/1970,2.359,2.3799,2.3386,2.359,103451,0
3/3/1970,2.359,2.359,2.3178,2.3386,56324,0
3/4/1970,2.3386,2.359,2.3386,2.359,95405,0
3/5/1970,2.359,2.3799,2.359,2.359,293115,0
3/6/1970,2.3799,2.3799,2.3799,2.3799,45979,0
3/9/1970,2.359,2.359,2.3386,2.359,119543,0
3/10/1970,2.359,2.359,2.3386,2.3386,71267,0
3/11/1970,2.3386,2.359,2.3386,2.3386,44828,0
3/12/1970,2.3386,2.3386,2.3178,2.3178,96554,0
3/13/1970,2.3178,2.3178,2.2972,2.2972,105750,0
3/16/1970,2.2972,2.2972,2.2759,2.2759,68967,0
3/17/1970,2.2759,2.2759,2.2544,2.2544,155179,0
3/18/1970,2.2544,2.2544,2.2544,2.2544,149433,0
3/19/1970,2.2544,2.2544,2.1921,2.1921,1189699,0
3/20/1970,2.1921,2.1921,2.1717,2.1717,175869,0
3/23/1970,2.1717,2.1921,2.1717,2.1717,83912,0
3/24/1970,2.1921,2.2139,2.1921,2.1921,91958,0
3/25/1970,2.2139,2.3178,2.2139,2.2972,345992,0
3/26/1970,2.2972,2.2972,2.2544,2.2759,104600,0
3/30/1970,2.2759,2.2972,2.2544,2.2972,87360,0
3/31/1970,2.2759,2.2759,2.2759,2.2759,85061,0
4/1/1970,2.2972,2.3178,2.2972,2.2972,81613,0
4/2/1970,2.2972,2.3178,2.2972,2.3178,219549,0
4/3/1970,2.3178,2.3386,2.3178,2.3178,68967,0
4/6/1970,2.3178,2.3178,2.2972,2.2972,96554,0
4/7/1970,2.2972,2.3178,2.2972,2.2972,47128,0
4/8/1970,2.2972,2.2972,2.2972,2.2972,86210,0
4/9/1970,2.2972,2.2972,2.2759,2.2759,44828,0
4/10/1970,2.2759,2.2972,2.2342,2.2544,85061,0
4/13/1970,2.2544,2.2544,2.2544,2.2544,129890,0
4/14/1970,2.2544,2.2544,2.2139,2.2342,178169,0
4/15/1970,2.2342,2.2342,2.2139,2.2139,70118,0
4/16/1970,2.2139,2.2342,2.1921,2.1921,213801,0
4/17/1970,2.1921,2.1921,2.1717,2.1717,189662,0
4/20/1970,2.1717,2.1921,2.1717,2.1717,54024,0
4/21/1970,2.1717,2.1921,2.1717,2.1717,65519,0
4/22/1970,2.1717,2.1717,2.0883,2.0883,263228,0
4/23/1970,2.0883,2.0883,2.0463,2.0463,157476,0
4/24/1970,2.0463,2.0672,2.0463,2.0672,63221,0
4/27/1970,2.0672,2.0672,2.0463,2.0672,37931,0
4/28/1970,2.0672,2.0672,2.0463,2.0463,81613,0
4/29/1970,2.0463,2.0883,2.0463,2.0883,71267,0
4/30/1970,2.0883,2.1292,2.0672,2.0883,65519,0
5/1/1970,2.0883,2.0883,2.0463,2.0672,89658,0
5/4/1970,2.0672,2.0672,1.9622,1.9622,228744,0
5/5/1970,1.9622,1.9622,1.9214,1.9214,96554,0
5/6/1970,1.942,1.9836,1.942,1.9622,152879,0
5/7/1970,1.9622,2.0043,1.9622,1.9836,77014,0
5/8/1970,1.9836,1.9836,1.9622,1.9622,28736,0
5/11/1970,1.9836,1.9836,1.9622,1.9622,36783,0
